Mesh Metrics:
  Number of vertices: 479372
  Loop 470 size: 14
  Loop 471 size: 1
  Loop 472 size: 1
  Loop 473 size: 3
  Loop 474 size: 3
  Loop 475 size: 4
  Loop 476 size: 3
  Loop 477 size: 4
  Loop 478 size: 26
  Loop 479 size: 2
  Loop 480 size: 5
  Loop 481 size: 5
  Loop 482 size: 4
  Loop 483 size: 1
  Loop 484 size: 4
  Loop 485 size: 2
  Loop 486 size: 6
  Loop 487 size: 3
  Loop 488 size: 2
  Loop 489 size: 1
  Loop 490 size: 7
  Loop 491 size: 1
  Loop 492 size: 3
  Loop 493 size: 1
  Loop 494 size: 1
  Loop 495 size: 1
  Loop 496 size: 1
  Loop 497 size: 1
  Loop 498 size: 1
  Loop 499 size: 1
  Loop 500 size: 6
  Loop 501 size: 1
  Loop 502 size: 1
  Loop 503 size: 3
  Loop 504 size: 12
  Loop 505 size: 2
  Loop 506 size: 6
  Loop 507 size: 19
  Loop 508 size: 3
  Loop 509 size: 1
  Loop 510 size: 2
  Loop 511 size: 4
  Loop 512 size: 1
  Loop 513 size: 2
  Loop 514 size: 2
  Loop 515 size: 1
  Loop 516 size: 3
  Loop 517 size: 1
  Loop 518 size: 1
  Loop 519 size: 3
  Loop 520 size: 4
  Loop 521 size: 4
  Loop 522 size: 4
  Loop 523 size: 4
  Loop 524 size: 1
  Loop 525 size: 1
  Loop 526 size: 66
  Loop 527 size: 1
  Loop 528 size: 1
  Loop 529 size: 1
  Loop 530 size: 4
  Loop 531 size: 1
  Loop 532 size: 36
  Loop 533 size: 1
  Loop 534 size: 35
  Loop 535 size: 4
  Loop 536 size: 5
  Loop 537 size: 5
  Loop 538 size: 1
  Loop 539 size: 1
  Loop 540 size: 3
  Loop 541 size: 3
  Loop 542 size: 2
  Loop 543 size: 4
  Loop 544 size: 1
  Loop 545 size: 72
  Loop 546 size: 1
  Loop 547 size: 1
  Loop 548 size: 1
  Loop 549 size: 1
  Loop 550 size: 3
  Loop 551 size: 1
  Loop 552 size: 13
  Loop 553 size: 16
  Loop 554 size: 1
  Loop 555 size: 2
  Loop 556 size: 2
  Loop 557 size: 1
  Loop 558 size: 1
  Loop 559 size: 1
  Loop 560 size: 3
  Loop 561 size: 1
  Loop 562 size: 9
  Loop 563 size: 5
  Loop 564 size: 1
  Loop 565 size: 1
  Loop 566 size: 20
  Loop 567 size: 1
  Loop 568 size: 15
  Loop 569 size: 4
  Loop 570 size: 5
  Loop 571 size: 1
  Loop 572 size: 3
  Loop 573 size: 2
  Loop 574 size: 1
  Loop 575 size: 1
  Loop 576 size: 1
  Loop 577 size: 11
  Loop 578 size: 4
  Loop 579 size: 4
  Loop 580 size: 1
  Loop 581 size: 1
  Loop 582 size: 24
  Loop 583 size: 24
  Loop 584 size: 1
  Loop 585 size: 3
  Loop 586 size: 7
  Loop 587 size: 4
  Loop 588 size: 1
  Loop 589 size: 7
  Loop 590 size: 2
  Loop 591 size: 2
  Loop 592 size: 2
  Loop 593 size: 1
  Loop 594 size: 1
  Loop 595 size: 1
  Loop 596 size: 4
  Loop 597 size: 2
  Loop 598 size: 10
  Loop 599 size: 1
  Loop 600 size: 1
  Loop 601 size: 3
  Loop 602 size: 2
  Loop 603 size: 1
  Loop 604 size: 3
  Loop 605 size: 19
  Loop 606 size: 1
  Loop 607 size: 1
  Loop 608 size: 18
  Loop 609 size: 3
  Loop 610 size: 56
  Loop 611 size: 3
  Loop 612 size: 2
  Loop 613 size: 4
  Loop 614 size: 1
  Loop 615 size: 5
  Loop 616 size: 1
  Loop 617 size: 1
  Loop 618 size: 1
  Loop 619 size: 10
  Loop 620 size: 3
  Loop 621 size: 1
  Loop 622 size: 4
  Loop 623 size: 2
  Loop 624 size: 2
  Loop 625 size: 1
  Loop 626 size: 8
  Loop 627 size: 9
  Loop 628 size: 1
  Loop 629 size: 1
  Loop 630 size: 6
  Loop 631 size: 1
  Loop 632 size: 2
  Loop 633 size: 3
  Loop 634 size: 3
  Loop 635 size: 8
  Loop 636 size: 4
  Loop 637 size: 3
  Loop 638 size: 1
  Loop 639 size: 1
  Loop 640 size: 4
  Loop 641 size: 4
  Loop 642 size: 1
  Loop 643 size: 1
  Loop 644 size: 1
  Loop 645 size: 1
  Loop 646 size: 4
  Loop 647 size: 1
  Loop 648 size: 1
  Loop 649 size: 2
  Loop 650 size: 1
  Loop 651 size: 1
  Loop 652 size: 4
  Loop 653 size: 4
  Loop 654 size: 4
  Loop 655 size: 2
  Loop 656 size: 1
  Loop 657 size: 56
  Loop 658 size: 2
  Loop 659 size: 7
  Loop 660 size: 2
  Loop 661 size: 1
  Loop 662 size: 5
  Loop 663 size: 32
  Loop 664 size: 1
  Loop 665 size: 4
  Loop 666 size: 4
  Loop 667 size: 1
  Loop 668 size: 1
  Loop 669 size: 2
  Loop 670 size: 2
  Loop 671 size: 1
  Loop 672 size: 1
  Loop 673 size: 4
  Loop 674 size: 1
  Loop 675 size: 1
  Loop 676 size: 2
  Loop 677 size: 2
  Loop 678 size: 2
  Loop 679 size: 3
  Loop 680 size: 2
  Loop 681 size: 1
  Loop 682 size: 4
  Loop 683 size: 3
  Loop 684 size: 102
  Loop 685 size: 1
  Loop 686 size: 7
  Loop 687 size: 1
  Loop 688 size: 1
  Loop 689 size: 1
  Loop 690 size: 6
  Loop 691 size: 3
  Loop 692 size: 1
  Loop 693 size: 2
  Loop 694 size: 1
  Loop 695 size: 1
  Loop 696 size: 1
  Loop 697 size: 1
  Loop 698 size: 1
  Loop 699 size: 6
  Loop 700 size: 1
  Loop 701 size: 1
  Loop 702 size: 2
  Loop 703 size: 2
  Loop 704 size: 1
  Loop 705 size: 5
  Loop 706 size: 1
  Loop 707 size: 6
  Loop 708 size: 1
  Loop 709 size: 3
  Loop 710 size: 2
  Loop 711 size: 1
  Loop 712 size: 1
  Loop 713 size: 4
  Loop 714 size: 1
  Loop 715 size: 1
  Loop 716 size: 1
  Loop 717 size: 1
  Loop 718 size: 4
  Loop 719 size: 1
  Loop 720 size: 1
  Loop 721 size: 15
  Loop 722 size: 1
  Loop 723 size: 1
  Loop 724 size: 2
  Loop 725 size: 1
  Loop 726 size: 1
  Loop 727 size: 3
  Loop 728 size: 1
  Loop 729 size: 9
  Loop 730 size: 2
  Loop 731 size: 1
  Loop 732 size: 1
  Loop 733 size: 1
  Loop 734 size: 3
  Loop 735 size: 1
  Loop 736 size: 1
  Loop 737 size: 2
  Loop 738 size: 2
  Loop 739 size: 29
  Loop 740 size: 1
  Loop 741 size: 4
  Loop 742 size: 4
  Loop 743 size: 4
  Loop 744 size: 1
  Loop 745 size: 1
  Loop 746 size: 1
  Loop 747 size: 4
  Loop 748 size: 2
  Loop 749 size: 1
  Loop 750 size: 4
  Loop 751 size: 3
  Loop 752 size: 1
  Loop 753 size: 1
  Loop 754 size: 107
  Loop 755 size: 1
  Loop 756 size: 2
  Loop 757 size: 1
  Loop 758 size: 7
  Loop 759 size: 2
  Loop 760 size: 2
  Loop 761 size: 2
  Loop 762 size: 4
  Loop 763 size: 6
  Loop 764 size: 6
  Loop 765 size: 3
  Loop 766 size: 1
  Loop 767 size: 1
  Loop 768 size: 7
  Loop 769 size: 1
  Loop 770 size: 3
  Loop 771 size: 66
  Loop 772 size: 1
  Loop 773 size: 3
  Loop 774 size: 1
  Loop 775 size: 3
  Loop 776 size: 2
  Loop 777 size: 1
  Loop 778 size: 1
  Loop 779 size: 2
  Loop 780 size: 3
  Loop 781 size: 2
  Loop 782 size: 4
  Loop 783 size: 2
  Loop 784 size: 4
  Loop 785 size: 3
  Loop 786 size: 7
  Loop 787 size: 1
  Loop 788 size: 1
  Loop 789 size: 1
  Loop 790 size: 67
  Loop 791 size: 1
  Loop 792 size: 2
  Loop 793 size: 1
  Loop 794 size: 4
  Loop 795 size: 1
  Loop 796 size: 2
  Loop 797 size: 5
  Loop 798 size: 1
  Loop 799 size: 4
  Loop 800 size: 25
  Loop 801 size: 1
  Loop 802 size: 1
  Loop 803 size: 1
  Loop 804 size: 1
  Loop 805 size: 1
  Loop 806 size: 1
  Loop 807 size: 1
  Loop 808 size: 2
  Loop 809 size: 1
  Loop 810 size: 2
  Loop 811 size: 3
  Loop 812 size: 2
  Loop 813 size: 19
  Loop 814 size: 2
  Loop 815 size: 1
  Loop 816 size: 1
  Loop 817 size: 1
  Loop 818 size: 3
  Loop 819 size: 1
  Loop 820 size: 2
  Loop 821 size: 2
  Loop 822 size: 1
  Loop 823 size: 1
  Loop 824 size: 1
  Loop 825 size: 4
  Loop 826 size: 1
  Loop 827 size: 1
  Loop 828 size: 2
  Loop 829 size: 2
  Loop 830 size: 3
  Loop 831 size: 4
  Loop 832 size: 3
  Loop 833 size: 2
  Loop 834 size: 2
  Loop 835 size: 3
  Loop 836 size: 85
  Loop 837 size: 4
  Loop 838 size: 4
  Loop 839 size: 166
  Loop 840 size: 6
  Loop 841 size: 7
  Loop 842 size: 6
  Loop 843 size: 4
  Loop 844 size: 2
  Loop 845 size: 4
  Loop 846 size: 1
  Loop 847 size: 1
  Loop 848 size: 1
  Loop 849 size: 1
  Loop 850 size: 17
  Loop 851 size: 1
  Loop 852 size: 1
  Loop 853 size: 3
  Loop 854 size: 1
  Loop 855 size: 5
  Loop 856 size: 2
  Loop 857 size: 2
  Loop 858 size: 7
  Loop 859 size: 1
  Loop 860 size: 1
  Loop 861 size: 2
  Loop 862 size: 1
  Loop 863 size: 4
  Loop 864 size: 3
  Loop 865 size: 2
  Loop 866 size: 17
  Loop 867 size: 10
  Loop 868 size: 4
  Loop 869 size: 1
  Loop 870 size: 1
  Loop 871 size: 1
  Loop 872 size: 2
  Loop 873 size: 3
  Loop 874 size: 4
  Loop 875 size: 2
  Loop 876 size: 44
  Loop 877 size: 1
  Loop 878 size: 1
  Loop 879 size: 2
  Loop 880 size: 1
  Loop 881 size: 1
  Loop 882 size: 1
  Loop 883 size: 1
  Loop 884 size: 2
  Loop 885 size: 4
  Loop 886 size: 1
  Loop 887 size: 3
  Loop 888 size: 1
  Loop 889 size: 4
  Loop 890 size: 4
  Loop 891 size: 5
  Loop 892 size: 13
  Loop 893 size: 1
  Loop 894 size: 1
  Loop 895 size: 4
  Loop 896 size: 1
  Loop 897 size: 4
  Loop 898 size: 1
  Loop 899 size: 16
  Loop 900 size: 1
  Loop 901 size: 2
  Loop 902 size: 3
  Loop 903 size: 4
  Loop 904 size: 3
  Loop 905 size: 4
  Loop 906 size: 4
  Loop 907 size: 52
  Loop 908 size: 1
  Loop 909 size: 1
  Loop 910 size: 4
  Loop 911 size: 4
  Loop 912 size: 2
  Loop 913 size: 5
  Loop 914 size: 4
  Loop 915 size: 1
  Loop 916 size: 1
  Loop 917 size: 1
  Loop 918 size: 1
  Loop 919 size: 10
  Loop 920 size: 1
  Loop 921 size: 1
  Loop 922 size: 91
  Loop 923 size: 5
  Loop 924 size: 1
  Loop 925 size: 43
  Loop 926 size: 4
  Loop 927 size: 21
  Loop 928 size: 1
  Loop 929 size: 1
  Loop 930 size: 20
  Loop 931 size: 1
  Loop 932 size: 1
  Loop 933 size: 3
  Loop 934 size: 1
  Loop 935 size: 1
  Loop 936 size: 4
  Loop 937 size: 4
  Loop 938 size: 1
  Loop 939 size: 5
  Loop 940 size: 1
  Loop 941 size: 1
  Loop 942 size: 1
  Loop 943 size: 17
  Loop 944 size: 5
  Loop 945 size: 1
  Loop 946 size: 2
  Loop 947 size: 6
  Loop 948 size: 2
  Loop 949 size: 1
  Loop 950 size: 1
  Loop 951 size: 2
  Loop 952 size: 3
  Loop 953 size: 1
  Loop 954 size: 1
  Loop 955 size: 4
  Loop 956 size: 1
  Loop 957 size: 1
  Loop 958 size: 1
  Loop 959 size: 4
  Loop 960 size: 3
  Loop 961 size: 1
  Loop 962 size: 1
  Loop 963 size: 1
  Loop 964 size: 10
  Loop 965 size: 1
  Loop 966 size: 3
  Loop 967 size: 1
  Loop 968 size: 4
  Loop 969 size: 5
  Loop 970 size: 4
  Loop 971 size: 1
  Loop 972 size: 4
  Loop 973 size: 2
  Loop 974 size: 2
  Loop 975 size: 2
  Loop 976 size: 1
  Loop 977 size: 5
  Loop 978 size: 4
  Loop 979 size: 1
  Loop 980 size: 11
  Loop 981 size: 1
  Loop 982 size: 17
  Loop 983 size: 1
  Loop 984 size: 1
  Loop 985 size: 9
  Loop 986 size: 1
  Loop 987 size: 1
  Loop 988 size: 4
  Loop 989 size: 2
  Loop 990 size: 1
  Loop 991 size: 8
  Loop 992 size: 1
  Loop 993 size: 1
  Loop 994 size: 2
  Loop 995 size: 1
  Loop 996 size: 1
  Loop 997 size: 1
  Loop 998 size: 1
  Loop 999 size: 8
  Loop 1000 size: 7
  Loop 1001 size: 1
  Loop 1002 size: 4
  Loop 1003 size: 1
  Loop 1004 size: 1
  Loop 1005 size: 1
  Loop 1006 size: 3
  Loop 1007 size: 2
  Loop 1008 size: 4
  Loop 1009 size: 2
  Loop 1010 size: 1
  Loop 1011 size: 106
  Loop 1012 size: 2
  Loop 1013 size: 1
  Loop 1014 size: 1
  Loop 1015 size: 2
  Loop 1016 size: 1
  Loop 1017 size: 1
  Loop 1018 size: 1
  Loop 1019 size: 3
  Loop 1020 size: 1
  Loop 1021 size: 1
  Loop 1022 size: 5
  Loop 1023 size: 3
  Loop 1024 size: 1
  Loop 1025 size: 3
  Loop 1026 size: 10
  Loop 1027 size: 1
  Loop 1028 size: 4
  Loop 1029 size: 5
  Loop 1030 size: 2
  Loop 1031 size: 2
  Loop 1032 size: 12
  Loop 1033 size: 1
  Loop 1034 size: 1
  Loop 1035 size: 1
  Loop 1036 size: 1
  Loop 1037 size: 1
  Loop 1038 size: 1
  Loop 1039 size: 64
  Loop 1040 size: 1
  Loop 1041 size: 65
  Loop 1042 size: 1
  Loop 1043 size: 2
  Loop 1044 size: 1
  Loop 1045 size: 1
  Loop 1046 size: 1
  Loop 1047 size: 3
  Loop 1048 size: 1
  Loop 1049 size: 2
  Loop 1050 size: 1
  Loop 1051 size: 2
  Loop 1052 size: 4
  Loop 1053 size: 1
  Loop 1054 size: 2
  Loop 1055 size: 4
  Loop 1056 size: 1
  Loop 1057 size: 8
  Loop 1058 size: 5
  Loop 1059 size: 3
  Loop 1060 size: 1
  Loop 1061 size: 1
  Loop 1062 size: 4
  Loop 1063 size: 4
  Loop 1064 size: 1
  Loop 1065 size: 1
  Loop 1066 size: 1
  Loop 1067 size: 1
  Loop 1068 size: 2
  Loop 1069 size: 5
  Loop 1070 size: 2
  Loop 1071 size: 3
  Loop 1072 size: 2
  Loop 1073 size: 3
  Loop 1074 size: 4
  Loop 1075 size: 2
  Loop 1076 size: 1
  Loop 1077 size: 4
  Loop 1078 size: 2
  Loop 1079 size: 1
  Loop 1080 size: 5
  Loop 1081 size: 1
  Loop 1082 size: 1
  Loop 1083 size: 2
  Loop 1084 size: 3
  Loop 1085 size: 19
  Loop 1086 size: 2
  Loop 1087 size: 1
  Loop 1088 size: 7
  Loop 1089 size: 8
  Loop 1090 size: 1
  Loop 1091 size: 8
  Loop 1092 size: 1
  Loop 1093 size: 10
  Loop 1094 size: 1
  Loop 1095 size: 10
  Loop 1096 size: 1
  Loop 1097 size: 5
  Loop 1098 size: 38
  Loop 1099 size: 4
  Loop 1100 size: 6
  Loop 1101 size: 4
  Loop 1102 size: 1
  Loop 1103 size: 4
  Loop 1104 size: 1
  Loop 1105 size: 6
  Loop 1106 size: 3
  Loop 1107 size: 1
  Loop 1108 size: 3
  Loop 1109 size: 6
  Loop 1110 size: 13
  Loop 1111 size: 1
  Loop 1112 size: 1
  Loop 1113 size: 1
  Loop 1114 size: 3
  Loop 1115 size: 1
  Loop 1116 size: 1
  Loop 1117 size: 1
  Loop 1118 size: 2
  Loop 1119 size: 1
  Loop 1120 size: 31
  Loop 1121 size: 12
  Loop 1122 size: 5
  Loop 1123 size: 8
  Loop 1124 size: 1
  Loop 1125 size: 1
  Loop 1126 size: 1
  Loop 1127 size: 1
  Loop 1128 size: 1
  Loop 1129 size: 9
  Loop 1130 size: 1
  Loop 1131 size: 3
  Loop 1132 size: 1
  Loop 1133 size: 1
  Loop 1134 size: 1
  Loop 1135 size: 6
  Loop 1136 size: 1
  Loop 1137 size: 2
  Loop 1138 size: 3
  Loop 1139 size: 4
