Mesh Metrics:
  Number of vertices: 982118
  Component 6 size: 36
  Component 7 size: 62
  Component 8 size: 29583
  Component 9 size: 18
  Component 10 size: 62
  Component 11 size: 58
  Component 12 size: 50
  Component 13 size: 92
  Component 14 size: 18
  Component 15 size: 52
  Component 16 size: 18
  Component 17 size: 42
  Component 18 size: 32
  Component 19 size: 20
  Component 20 size: 643
  Component 21 size: 796
  Component 22 size: 52
  Component 23 size: 30
  Component 24 size: 70
  Component 25 size: 3708
  Component 26 size: 96
  Component 27 size: 26
  Component 28 size: 1
  Component 29 size: 32
  Component 30 size: 30
  Component 31 size: 46
  Component 32 size: 20
  Component 33 size: 24
  Component 34 size: 26
  Component 35 size: 24
  Component 36 size: 14
  Component 37 size: 28
  Component 38 size: 247
  Component 39 size: 26
  Component 40 size: 1212
  Component 41 size: 62
  Component 42 size: 177
  Component 43 size: 38
  Component 44 size: 44
  Component 45 size: 22
  Component 46 size: 32
  Component 47 size: 22
  Component 48 size: 112
  Component 49 size: 40
  Component 50 size: 86
  Component 51 size: 18
  Component 52 size: 40
  Component 53 size: 20
  Component 54 size: 24
  Component 55 size: 20
  Component 56 size: 72
  Component 57 size: 90
  Component 58 size: 22
  Component 59 size: 14
  Component 60 size: 22
  Component 61 size: 38
  Component 62 size: 24
  Component 63 size: 112
  Component 64 size: 14
  Component 65 size: 32
  Component 66 size: 64
  Component 67 size: 18
  Component 68 size: 22
  Component 69 size: 20
  Component 70 size: 12
  Component 71 size: 42
  Component 72 size: 20
  Component 73 size: 18
  Component 74 size: 30
  Component 75 size: 244
  Component 76 size: 46
  Component 77 size: 36
  Component 78 size: 32
  Component 79 size: 24
  Component 80 size: 22
  Component 81 size: 16
  Component 82 size: 46
  Component 83 size: 66
  Component 84 size: 26
  Component 85 size: 22
  Component 86 size: 52
  Component 87 size: 26
  Component 88 size: 26
  Component 89 size: 142
  Component 90 size: 40
  Component 91 size: 16
  Component 92 size: 36
  Component 93 size: 2466
  Component 94 size: 122
  Component 95 size: 24
  Component 96 size: 16
  Component 97 size: 14
  Component 98 size: 42
  Component 99 size: 20
  Component 100 size: 807
  Component 101 size: 32
  Component 102 size: 30
  Component 103 size: 500
  Component 104 size: 64
  Component 105 size: 42
  Component 106 size: 36
  Component 107 size: 24
  Component 108 size: 36
  Component 109 size: 82
  Component 110 size: 22
  Component 111 size: 28
  Component 112 size: 88
  Component 113 size: 122
  Component 114 size: 26
  Component 115 size: 12
  Component 116 size: 22
  Component 117 size: 20
  Component 118 size: 16
  Component 119 size: 72
  Component 120 size: 20
  Component 121 size: 16
  Component 122 size: 96
  Component 123 size: 22
  Component 124 size: 18
  Component 125 size: 20
  Component 126 size: 20
  Component 127 size: 76
  Component 128 size: 24
  Component 129 size: 44
  Component 130 size: 30
  Component 131 size: 20
  Component 132 size: 18
  Component 133 size: 16
  Component 134 size: 24
  Component 135 size: 26
  Component 136 size: 34
  Component 137 size: 42
  Component 138 size: 32
  Component 139 size: 22
  Component 140 size: 24
  Component 141 size: 26
  Component 142 size: 22
  Component 143 size: 22
  Component 144 size: 12
  Component 145 size: 28
  Component 146 size: 28
  Component 147 size: 14
  Component 148 size: 26
  Component 149 size: 32
  Component 150 size: 54
  Component 151 size: 595
  Component 152 size: 34
  Component 153 size: 26
  Component 154 size: 20
  Component 155 size: 12
  Component 156 size: 18
  Component 157 size: 36
  Component 158 size: 118
  Component 159 size: 42
  Component 160 size: 24
  Component 161 size: 28
  Component 162 size: 28
  Component 163 size: 22
  Component 164 size: 44
  Component 165 size: 20
  Component 166 size: 114
  Component 167 size: 22
  Component 168 size: 26
  Component 169 size: 52
  Component 170 size: 30
  Component 171 size: 22
  Component 172 size: 24
  Component 173 size: 42
  Component 174 size: 18
  Component 175 size: 74
  Component 176 size: 52
  Component 177 size: 20
  Component 178 size: 18
  Component 179 size: 38
  Component 180 size: 40
  Component 181 size: 54
  Component 182 size: 24
  Component 183 size: 74
  Component 184 size: 22
  Component 185 size: 18
  Component 186 size: 22
  Component 187 size: 26
  Component 188 size: 38
  Component 189 size: 20
  Component 190 size: 26
  Component 191 size: 28
  Component 192 size: 20
  Component 193 size: 14
  Component 194 size: 26
  Component 195 size: 20
  Component 196 size: 30
  Component 197 size: 26
  Component 198 size: 22
  Component 199 size: 24
  Component 200 size: 28
  Component 201 size: 16
  Component 202 size: 22
  Component 203 size: 28
  Component 204 size: 48
  Component 205 size: 32
  Component 206 size: 24
  Component 207 size: 32
  Component 208 size: 22
  Component 209 size: 54
