Mesh Metrics:
  Number of vertices: 833649
  Component 194 size: 16
  Component 195 size: 28
  Component 196 size: 22
  Component 197 size: 16
  Component 198 size: 28
  Component 199 size: 56
  Component 200 size: 18
  Component 201 size: 34
  Component 202 size: 28
  Component 203 size: 50
  Component 204 size: 40
  Component 205 size: 10
  Component 206 size: 26
  Component 207 size: 54
  Component 208 size: 36
  Component 209 size: 42
  Component 210 size: 22
  Component 211 size: 44
  Component 212 size: 36
  Component 213 size: 32
  Component 214 size: 24
  Component 215 size: 46
  Component 216 size: 20
  Component 217 size: 18
  Component 218 size: 22
  Component 219 size: 16
  Component 220 size: 22
  Component 221 size: 20
  Component 222 size: 18
  Component 223 size: 20
  Component 224 size: 30
  Component 225 size: 28
  Component 226 size: 20
  Component 227 size: 36
  Component 228 size: 30
  Component 229 size: 20
  Component 230 size: 34
  Component 231 size: 52
  Component 232 size: 54
  Component 233 size: 128
  Component 234 size: 16
  Component 235 size: 22
  Component 236 size: 32
  Component 237 size: 34
  Component 238 size: 22
  Component 239 size: 26
  Component 240 size: 34
  Component 241 size: 16
  Component 242 size: 14
  Component 243 size: 32
  Component 244 size: 44
  Component 245 size: 18
  Component 246 size: 26
  Component 247 size: 16
  Component 248 size: 24
  Component 249 size: 50
  Component 250 size: 22
  Component 251 size: 26
  Component 252 size: 30
  Component 253 size: 28
  Component 254 size: 38
  Component 255 size: 36
  Component 256 size: 34
  Component 257 size: 12
  Component 258 size: 24
  Component 259 size: 28
  Component 260 size: 20
  Component 261 size: 20
  Component 262 size: 44
  Component 263 size: 22
  Component 264 size: 14
  Component 265 size: 14
  Component 266 size: 18
  Component 267 size: 22
  Component 268 size: 20
  Component 269 size: 14
  Component 270 size: 62
  Component 271 size: 26
  Component 272 size: 38
  Component 273 size: 70
  Component 274 size: 24
  Component 275 size: 24
  Component 276 size: 22
  Component 277 size: 14
  Component 278 size: 58
  Component 279 size: 42
  Component 280 size: 60
  Component 281 size: 18
  Component 282 size: 32
  Component 283 size: 22
  Component 284 size: 36
  Component 285 size: 22
  Component 286 size: 14
  Component 287 size: 3
  Component 288 size: 18
  Component 289 size: 20
  Component 290 size: 18
  Component 291 size: 32
  Component 292 size: 50
  Component 293 size: 32
  Component 294 size: 14
  Component 295 size: 26
  Component 296 size: 28
  Component 297 size: 40
  Component 298 size: 20
  Component 299 size: 219
  Component 300 size: 26
  Component 301 size: 18
  Component 302 size: 73
  Component 303 size: 87
  Component 304 size: 20
  Component 305 size: 12
  Component 306 size: 82
  Component 307 size: 22
  Component 308 size: 28
  Component 309 size: 30
  Component 310 size: 4
  Component 311 size: 24
  Component 312 size: 22
  Component 313 size: 49
  Component 314 size: 32
  Component 315 size: 66
  Component 316 size: 36
  Component 317 size: 34
  Component 318 size: 54
  Component 319 size: 32
  Component 320 size: 32
  Component 321 size: 28
  Component 322 size: 32
  Component 323 size: 22
  Component 324 size: 16
  Component 325 size: 18
  Component 326 size: 36
  Component 327 size: 64
  Component 328 size: 10
  Component 329 size: 28
  Component 330 size: 20
  Component 331 size: 50
  Component 332 size: 50
  Component 333 size: 14
  Component 334 size: 26
  Component 335 size: 22
  Component 336 size: 28
  Component 337 size: 48
  Component 338 size: 30
  Component 339 size: 20
  Component 340 size: 58
  Component 341 size: 48
  Component 342 size: 20
  Component 343 size: 24
  Component 344 size: 20
  Component 345 size: 26
  Component 346 size: 24
  Component 347 size: 22
  Component 348 size: 32
  Component 349 size: 38
  Component 350 size: 24
  Component 351 size: 16
  Component 352 size: 20
  Component 353 size: 20
  Component 354 size: 28
  Component 355 size: 20
  Component 356 size: 50
  Component 357 size: 20
  Component 358 size: 58
  Component 359 size: 38
  Component 360 size: 18
  Component 361 size: 24
  Component 362 size: 12
  Component 363 size: 22
  Component 364 size: 94
  Component 365 size: 28
  Component 366 size: 28
