Mesh Metrics:
  Number of vertices: 1678693
  Loop 340 size: 1
  Loop 341 size: 1
  Loop 342 size: 2
  Loop 343 size: 11
  Loop 344 size: 3
  Loop 345 size: 3
  Loop 346 size: 3
  Loop 347 size: 3
  Loop 348 size: 3
  Loop 349 size: 3
  Loop 350 size: 9
  Loop 351 size: 75
  Loop 352 size: 144
  Loop 353 size: 1
  Loop 354 size: 3
  Loop 355 size: 1
  Loop 356 size: 4
  Loop 357 size: 1
  Loop 358 size: 1
  Loop 359 size: 3
  Loop 360 size: 6
  Loop 361 size: 316
  Loop 362 size: 67
  Loop 363 size: 1
  Loop 364 size: 1
  Loop 365 size: 3
  Loop 366 size: 16
  Loop 367 size: 3
  Loop 368 size: 4
  Loop 369 size: 3
  Loop 370 size: 5
  Loop 371 size: 244
  Loop 372 size: 1
  Loop 373 size: 2
  Loop 374 size: 2
  Loop 375 size: 1
  Loop 376 size: 5
  Loop 377 size: 8
  Loop 378 size: 1
  Loop 379 size: 36
  Loop 380 size: 1
  Loop 381 size: 2
  Loop 382 size: 62
  Loop 383 size: 1
  Loop 384 size: 3
  Loop 385 size: 301
  Loop 386 size: 1
  Loop 387 size: 1
  Loop 388 size: 9
  Loop 389 size: 1
  Loop 390 size: 75
  Loop 391 size: 80
  Loop 392 size: 82
  Loop 393 size: 3
  Loop 394 size: 252
  Loop 395 size: 5
  Loop 396 size: 6
  Loop 397 size: 190
  Loop 398 size: 32
  Loop 399 size: 4
  Loop 400 size: 17
  Loop 401 size: 5
  Loop 402 size: 1241
  Loop 403 size: 3
  Loop 404 size: 1
  Loop 405 size: 1
  Loop 406 size: 4
  Loop 407 size: 4
  Loop 408 size: 314
  Loop 409 size: 1
  Loop 410 size: 1
  Loop 411 size: 1
  Loop 412 size: 2
  Loop 413 size: 1
  Loop 414 size: 1
  Loop 415 size: 2
  Loop 416 size: 1
  Loop 417 size: 1
  Loop 418 size: 3
  Loop 419 size: 4
  Loop 420 size: 5
  Loop 421 size: 8
  Loop 422 size: 13
  Loop 423 size: 76
  Loop 424 size: 1
  Loop 425 size: 2
  Loop 426 size: 6
  Loop 427 size: 3
  Loop 428 size: 9
  Loop 429 size: 188
  Loop 430 size: 5
  Loop 431 size: 1
  Loop 432 size: 1
  Loop 433 size: 1
  Loop 434 size: 44
  Loop 435 size: 1
  Loop 436 size: 4
  Loop 437 size: 1
  Loop 438 size: 47
  Loop 439 size: 1
  Loop 440 size: 1
  Loop 441 size: 1
  Loop 442 size: 1
  Loop 443 size: 1
  Loop 444 size: 2
  Loop 445 size: 2
  Loop 446 size: 1
  Loop 447 size: 1
  Loop 448 size: 13
  Loop 449 size: 1
  Loop 450 size: 2
  Loop 451 size: 6
  Loop 452 size: 1
  Loop 453 size: 1
  Loop 454 size: 63
  Loop 455 size: 1
  Loop 456 size: 3
  Loop 457 size: 1
  Loop 458 size: 1
  Loop 459 size: 1
  Loop 460 size: 1
  Loop 461 size: 1
  Loop 462 size: 1
  Loop 463 size: 18
  Loop 464 size: 4
  Loop 465 size: 2
  Loop 466 size: 3
  Loop 467 size: 3
  Loop 468 size: 1
  Loop 469 size: 1
  Loop 470 size: 1
  Loop 471 size: 3
  Loop 472 size: 1
  Loop 473 size: 1
  Loop 474 size: 3
  Loop 475 size: 6
  Loop 476 size: 1
  Loop 477 size: 1
  Loop 478 size: 1
  Loop 479 size: 1
  Loop 480 size: 1
  Loop 481 size: 10
  Loop 482 size: 1
  Loop 483 size: 1
  Loop 484 size: 1
  Loop 485 size: 1
  Loop 486 size: 2
  Loop 487 size: 1
  Loop 488 size: 1
  Loop 489 size: 1
  Loop 490 size: 1
  Loop 491 size: 4
  Loop 492 size: 152
  Loop 493 size: 1
  Loop 494 size: 1
  Loop 495 size: 1
  Loop 496 size: 1
  Loop 497 size: 1
  Loop 498 size: 1
  Loop 499 size: 1
  Loop 500 size: 3
  Loop 501 size: 536
  Loop 502 size: 1
  Loop 503 size: 3
  Loop 504 size: 8
  Loop 505 size: 1
  Loop 506 size: 1
  Loop 507 size: 1
  Loop 508 size: 1
  Loop 509 size: 1
  Loop 510 size: 1
  Loop 511 size: 2
  Loop 512 size: 1
  Loop 513 size: 1
  Loop 514 size: 1
  Loop 515 size: 1
  Loop 516 size: 1
  Loop 517 size: 1
  Loop 518 size: 27
  Loop 519 size: 1
  Loop 520 size: 6
  Loop 521 size: 1
  Loop 522 size: 1
  Loop 523 size: 1
  Loop 524 size: 1
  Loop 525 size: 1
  Loop 526 size: 19
  Loop 527 size: 1
  Loop 528 size: 22
  Loop 529 size: 4
  Loop 530 size: 1
  Loop 531 size: 1
  Loop 532 size: 151
  Loop 533 size: 1
  Loop 534 size: 1
  Loop 535 size: 4
  Loop 536 size: 1
  Loop 537 size: 1
  Loop 538 size: 1
  Loop 539 size: 1
  Loop 540 size: 13
  Loop 541 size: 2
  Loop 542 size: 1
  Loop 543 size: 1
  Loop 544 size: 2
  Loop 545 size: 9
  Loop 546 size: 1
  Loop 547 size: 99
  Loop 548 size: 1
  Loop 549 size: 1
  Loop 550 size: 1
  Loop 551 size: 1
  Loop 552 size: 1
  Loop 553 size: 1
  Loop 554 size: 1
  Loop 555 size: 1
  Loop 556 size: 12
  Loop 557 size: 6
  Loop 558 size: 3
  Loop 559 size: 1
  Loop 560 size: 1
  Loop 561 size: 4
  Loop 562 size: 3
  Loop 563 size: 3
  Loop 564 size: 3
  Loop 565 size: 3
  Loop 566 size: 14
  Loop 567 size: 3
  Loop 568 size: 3
  Loop 569 size: 56
  Loop 570 size: 1
  Loop 571 size: 1
  Loop 572 size: 8
  Loop 573 size: 26
  Loop 574 size: 18
  Loop 575 size: 43
  Loop 576 size: 3
  Loop 577 size: 29
  Loop 578 size: 69
  Loop 579 size: 4
  Loop 580 size: 22
  Loop 581 size: 3
  Loop 582 size: 3
